
== neu-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  6.47  6.47 0.00  57.4  36(15/21)   0  0.944  -5.47 0.076   13    47   0.064(0.017)  0.206 0.189 0.089 -0.0266 0.579 0.003 -0.633 -79.47 (-115.69/-43.26)
 1000  6.03  6.03 0.00  55.6  35(14/21)   0  0.922  -5.41 0.070   20    40   0.063(0.017)  0.192 0.210 0.080 -0.0383 0.579 0.005 -0.910 -69.05 (-323.74/+185.63)
 1500  5.68  5.68 0.00  54.4  30(14/16)   0  0.892  -6.60 0.076   20    40   0.059(0.018)  0.184 0.232 0.075 -0.0505 0.577 0.006 -1.201 +179.96 (+205.21/+154.71)
 2000  4.97  4.97 0.00  51.5  22( 8/14)   0  0.843  -6.03 0.066   28    32   0.051(0.020)  0.164 0.270 0.065 -0.0669 0.572 0.003 -1.588 -62.23 (-628.08/+503.62)
 2500  4.40  4.40 0.00  48.9  21( 4/17)   0  0.800  -5.87 0.062   32    28   0.052(0.017)  0.148 0.296 0.056 -0.0767 0.571 0.005 -1.820 +33.52 (-484.04/+551.07)
 3000  4.46  4.46 0.00  48.1  21( 4/17)   0  0.797  -5.15 0.092   32    28   0.056(0.016)  0.145 0.296 0.057 -0.0852 0.568 0.005 -2.024 +21.46 (-83.04/+125.97)
 3500  4.12  4.12 0.00  47.8  21( 4/17)   0  0.790  -5.68 0.094   37    23   0.059(0.019)  0.143 0.310 0.054 -0.0959 0.565 0.005 -2.277 +7.89 (+139.03/-123.25)
 4000  3.95  3.95 0.00  46.4  19( 5/14)   0  0.769  -5.82 0.090   36    24   0.060(0.016)  0.132 0.328 0.049 -0.0972 0.566 0.002 -2.308 +294.46 (+230.72/+358.20)
 4500  3.65  3.65 0.00  45.3  14( 5/ 9)   0  0.749  -5.99 0.112   40    20   0.054(0.017)  0.131 0.342 0.047 -0.1208 0.553 0.006 -2.870 -287.66 (-140.62/-434.71)
 5000  3.06  3.06 0.00  43.5  11( 1/10)   0  0.716  -5.15 0.104   43    17   0.053(0.017)  0.125 0.372 0.043 -0.1382 0.543 0.001 -3.282 -309.18 (-550.15/-68.22)

== neu-lr0.002-rate-s2  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  5.94  5.94 0.00  55.8  28(16/12)   0  0.915  -5.51 0.116   16    44   0.067(0.018)  0.189 0.206 0.078 -0.0405 0.569 0.007 -0.933 -299.01 (-220.87/-377.16)
