
== syn-h0.001-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  8.53  8.14 0.39  57.2  44(19/25)   0  0.945  -5.73 0.080    9    51   0.077(0.019)  0.108 0.181 0.014 -0.0173 0.580 0.001 -0.410 -56.24 (-56.38/-56.10)
 1000  8.54  8.17 0.37  56.9  47(23/24)   0  0.941  -5.83 0.078    9    51   0.077(0.018)  0.104 0.189 0.014 -0.0190 0.581 0.000 -0.451 -36.10 (-19.65/-52.54)
 1500  8.56  8.22 0.34  56.6  43(21/22)   0  0.938  -5.49 0.062   10    50   0.079(0.019)  0.101 0.187 0.014 -0.0178 0.582 0.000 -0.422 +37.52 (+32.07/+42.96)
 2000  8.59  8.27 0.32  56.4  45(22/23)   0  0.933  -5.37 0.076   12    48   0.084(0.020)  0.097 0.193 0.011 -0.0183 0.582 0.001 -0.434 -9.37 (+1.26/-20.00)
 2500  8.57  8.24 0.33  56.4  48(21/27)   0  0.934  -5.44 0.086    9    51   0.078(0.017)  0.099 0.194 0.012 -0.0189 0.582 0.001 -0.448 -7.73 (-22.48/+7.02)
 3000  8.64  8.31 0.33  56.8  44(18/26)   0  0.942  -5.44 0.076    8    52   0.079(0.018)  0.101 0.189 0.013 -0.0194 0.582 0.002 -0.461 -8.60 (+2.10/-19.29)
 3500  8.62  8.28 0.35  56.5  49(22/27)   0  0.935  -5.24 0.086    9    51   0.083(0.019)  0.098 0.189 0.013 -0.0207 0.582 0.002 -0.491 -23.11 (-8.47/-37.76)
 4000  8.68  8.35 0.33  56.5  48(21/27)   0  0.939  -5.09 0.082    9    51   0.082(0.019)  0.095 0.193 0.012 -0.0172 0.583 0.002 -0.409 +87.91 (+53.16/+122.67)
 4500  8.79  8.46 0.33  56.6  45(21/24)   0  0.939  -5.15 0.098   10    50   0.083(0.017)  0.097 0.185 0.013 -0.0162 0.584 0.001 -0.384 +33.54 (+44.22/+22.87)
 5000  8.77  8.45 0.32  56.5  45(21/24)   0  0.936  -5.05 0.052   10    50   0.079(0.017)  0.097 0.185 0.012 -0.0155 0.585 0.001 -0.367 +21.93 (+22.23/+21.63)
