
== neu-lr0-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  6.77  6.77 0.00  58.5  42(16/26)   0  0.972  -5.46 0.084    9    51   0.077(0.019)  0.216 0.176 0.094 -0.0146 0.580 0.000 -0.347 +321.09 (+134.67/+507.51)
 1000  6.77  6.77 0.00  58.6  48(21/27)   0  0.979  -6.01 0.086   10    50   0.075(0.017)  0.212 0.179 0.092 -0.0146 0.580 0.000 -0.347 +69.04 (+203.80/-65.72)
 1500  6.78  6.78 0.00  58.6  46(20/26)   0  0.977  -5.66 0.090    8    52   0.075(0.020)  0.213 0.171 0.091 -0.0146 0.580 0.000 -0.347 -454.65 (-394.43/-514.86)
 2000  6.77  6.77 0.00  58.6  48(21/27)   0  0.978  -5.93 0.072    9    51   0.080(0.021)  0.213 0.177 0.094 -0.0146 0.580 0.000 -0.347 -253.55 (+115.23/-622.33)
 2500  6.78  6.78 0.00  58.6  46(19/27)   0  0.976  -5.92 0.078    9    51   0.072(0.018)  0.211 0.177 0.092 -0.0146 0.580 0.000 -0.347 +32.55 (-455.40/+520.50)
 3000  6.78  6.78 0.00  58.6  46(19/27)   0  0.975  -5.93 0.074    8    52   0.077(0.018)  0.217 0.175 0.095 -0.0146 0.580 0.000 -0.347 +593.09 (+982.33/+203.86)
 3500  6.78  6.78 0.00  58.7  48(21/27)   0  0.977  -5.87 0.068    9    51   0.080(0.020)  0.215 0.176 0.093 -0.0146 0.580 0.000 -0.347 -102.22 (+254.34/-458.78)
 4000  6.77  6.77 0.00  58.6  47(20/27)   0  0.979  -5.87 0.078    8    52   0.077(0.017)  0.218 0.175 0.097 -0.0146 0.580 0.000 -0.347 -154.82 (+481.66/-791.30)
 4500  6.77  6.77 0.00  58.6  48(21/27)   0  0.976  -5.87 0.066    9    51   0.077(0.018)  0.216 0.175 0.093 -0.0146 0.580 0.000 -0.347 +56.85 (-124.12/+237.81)
 5000  6.75  6.75 0.00  58.5  46(20/26)   0  0.974  -5.96 0.080    9    51   0.079(0.018)  0.214 0.176 0.096 -0.0146 0.580 0.000 -0.347 -8.86 (+44.18/-61.89)

== neu-lr0-rate-s2  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  6.53  6.53 0.00  57.6  39(19/20)   0  0.956  -6.86 0.100   11    49   0.075(0.017)  0.200 0.182 0.087 -0.0194 0.574 0.000 -0.448 -145.29 (-403.58/+113.00)
 1000  6.54  6.54 0.00  57.5  41(20/21)   0  0.956  -6.95 0.112   10    50   0.082(0.016)  0.200 0.178 0.087 -0.0194 0.574 0.000 -0.448 -133.43 (+6.90/-273.75)
 1500  6.52  6.52 0.00  57.4  41(21/20)   0  0.957  -6.64 0.116   11    49   0.085(0.019)  0.201 0.179 0.087 -0.0194 0.574 0.000 -0.448 -216.49 (-57.02/-375.97)
 2000  6.54  6.54 0.00  57.5  39(18/21)   0  0.955  -7.22 0.092   10    50   0.078(0.017)  0.198 0.182 0.086 -0.0194 0.574 0.000 -0.448 +39.71 (+322.10/-242.69)
 2500  6.53  6.53 0.00  57.5  41(20/21)   0  0.960  -7.06 0.106   10    50   0.083(0.018)  0.201 0.182 0.087 -0.0194 0.574 0.000 -0.448 +222.63 (-5.01/+450.28)
 3000  6.54  6.54 0.00  57.5  40(19/21)   0  0.959  -7.22 0.092   11    49   0.075(0.017)  0.200 0.177 0.086 -0.0194 0.574 0.000 -0.448 -212.56 (-96.38/-328.74)
 3500  6.54  6.54 0.00  57.5  42(21/21)   0  0.958  -7.20 0.100   10    50   0.075(0.016)  0.201 0.184 0.088 -0.0194 0.574 0.000 -0.448 +0.82 (-19.67/+21.31)
 4000  6.52  6.52 0.00  57.4  40(20/20)   0  0.957  -6.85 0.136   10    50   0.076(0.018)  0.198 0.182 0.086 -0.0194 0.574 0.000 -0.448 -179.63 (-175.33/-183.93)
 4500  6.54  6.54 0.00  57.5  41(20/21)   0  0.958  -6.96 0.120   10    50   0.075(0.017)  0.204 0.182 0.090 -0.0194 0.574 0.000 -0.448 +231.27 (-84.88/+547.42)
 5000  6.53  6.53 0.00  57.5  40(18/22)   0  0.958  -7.14 0.086   11    49   0.076(0.018)  0.202 0.181 0.090 -0.0194 0.574 0.000 -0.448 -204.69 (+60.87/-470.26)
