rule    drive        lr s | reachable | firer start | firer 25k | busy 25k | busy&firer | busy w/o firer | firer not busy
synapse rate     0.0005 1 |        24 |           7 |        13 |       49 |         12 |             37 |              1
synapse rate     0.0005 2 |        27 |          11 |        20 |       42 |         18 |             24 |              2
synapse rate     0.0005 3 |        30 |          16 |        21 |       40 |         17 |             23 |              4
synapse charged  0.0005 1 |        24 |           7 |        12 |       49 |         11 |             38 |              1
synapse charged  0.0005 2 |        27 |          11 |        17 |       46 |         17 |             29 |              0
synapse charged  0.0005 3 |        30 |          16 |        22 |       46 |         20 |             26 |              2
synapse rate      0.001 1 |        24 |           7 |        18 |       45 |         15 |             30 |              3
synapse rate      0.001 2 |        27 |          11 |        22 |       37 |         19 |             18 |              3
synapse rate      0.001 3 |        30 |          16 |        26 |       43 |         22 |             21 |              4
synapse charged   0.001 1 |        24 |           7 |        18 |       46 |         17 |             29 |              1
synapse charged   0.001 2 |        27 |          11 |        21 |       41 |         20 |             21 |              1
synapse charged   0.001 3 |        30 |          16 |        24 |       45 |         22 |             23 |              2
synapse rate      0.002 1 |        24 |           7 |        22 |       42 |         20 |             22 |              2
synapse rate      0.002 2 |        27 |          11 |        27 |       40 |         23 |             17 |              4
synapse rate      0.002 3 |        30 |          16 |        27 |       36 |         23 |             13 |              4
synapse charged   0.002 1 |        24 |           7 |        20 |       46 |         19 |             27 |              1
synapse charged   0.002 2 |        27 |          11 |        22 |       45 |         21 |             24 |              1
synapse charged   0.002 3 |        30 |          16 |        26 |       44 |         24 |             20 |              2
synapse rate      0.005 1 |        24 |           7 |        23 |       39 |         21 |             18 |              2
synapse rate      0.005 2 |        27 |          11 |        26 |       32 |         26 |              6 |              0
synapse rate      0.005 3 |        30 |          16 |        26 |       31 |         22 |              9 |              4
synapse charged   0.005 1 |        24 |           7 |        20 |       23 |         20 |              3 |              0
synapse charged   0.005 2 |        27 |          11 |        25 |       37 |         25 |             12 |              0
synapse charged   0.005 3 |        30 |          16 |        29 |       36 |         27 |              9 |              2
synapse rate       0.01 1 |        24 |           7 |        23 |       27 |         22 |              5 |              1
synapse rate       0.01 2 |        27 |          11 |        26 |       26 |         25 |              1 |              1
synapse rate       0.01 3 |        30 |          16 |        27 |       26 |         26 |              0 |              1
synapse charged    0.01 1 |        24 |           7 |        20 |       17 |         17 |              0 |              3
synapse charged    0.01 2 |        27 |          11 |        26 |       29 |         23 |              6 |              3
synapse charged    0.01 3 |        30 |          16 |        29 |       34 |         26 |              8 |              3
neuron  rate     0.0005 1 |        24 |           7 |         7 |       38 |          6 |             32 |              1
neuron  rate     0.0005 2 |        27 |          11 |         6 |       30 |          6 |             24 |              0
neuron  rate     0.0005 3 |        30 |          16 |        18 |       33 |         17 |             16 |              1
neuron  rate      0.002 1 |        24 |           7 |         2 |        7 |          0 |              7 |              2
neuron  rate      0.002 2 |        27 |          11 |         3 |        9 |          1 |              8 |              2
neuron  rate      0.002 3 |        30 |          16 |         5 |       13 |          5 |              8 |              0
