outputs with expected drive at 25k below -2 thresholds; mean per output (n outputs, 3 seeds pooled)
rule    drive        lr  busy |   n | fan-in | max w/th | pos w/th p<0.1 (start) | pos w/th 0.1<=p<=0.9 | pos w/th p>0.9 | neg w/th p>0.9 | D25k/th | D0/th
neuron  rate     0.0005 False |  64 |   23.0 |     1.11 |   2.22 ( 2.30)        |   1.63              |   0.92        |   -3.70        |   -3.63 |  -1.90
neuron  rate     0.0005  True |   6 |   19.8 |     1.27 |   1.00 ( 0.96)        |   2.23              |   2.71        |   -4.45        |   -2.54 |  -1.10
neuron  rate      0.002 False | 143 |   23.2 |     0.95 |   1.88 ( 2.24)        |   1.08              |   0.47        |   -4.02        |   -4.91 |  -0.53
neuron  rate      0.002  True |   7 |   21.6 |     1.24 |   2.31 ( 2.19)        |   1.86              |   2.06        |   -4.26        |   -2.96 |  -0.92
synapse charged  0.0005 False |  27 |   23.1 |     1.16 |   2.37 ( 2.39)        |   1.86              |   0.81        |   -3.67        |   -3.67 |  -3.43
synapse charged  0.0005  True |  20 |   21.9 |     1.26 |   1.74 ( 1.75)        |   1.66              |   2.25        |   -4.02        |   -2.89 |  -2.79
synapse charged   0.002 False |  39 |   24.3 |     1.07 |   2.00 ( 2.14)        |   1.71              |   0.54        |   -3.69        |   -4.11 |  -2.29
synapse charged   0.002  True |  27 |   21.6 |     1.31 |   2.41 ( 2.32)        |   1.80              |   1.86        |   -4.10        |   -2.92 |  -2.18
synapse charged    0.01 False | 100 |   25.4 |     0.78 |   1.59 ( 2.37)        |   0.67              |   0.09        |   -4.74        |   -6.60 |  -0.72
synapse charged    0.01  True |  27 |   18.7 |     1.50 |   2.10 ( 1.96)        |   1.88              |   1.90        |   -4.38        |   -3.27 |  -1.52
synapse rate     0.0005 False |  33 |   22.8 |     1.18 |   2.25 ( 2.26)        |   1.90              |   0.84        |   -3.55        |   -3.57 |  -3.20
synapse rate     0.0005  True |  13 |   20.5 |     1.37 |   1.86 ( 1.84)        |   2.07              |   2.19        |   -4.32        |   -3.09 |  -3.16
synapse rate      0.002 False |  56 |   24.7 |     1.07 |   2.13 ( 2.16)        |   1.66              |   0.68        |   -3.62        |   -3.80 |  -1.81
synapse rate      0.002  True |  19 |   20.2 |     1.36 |   1.69 ( 1.67)        |   1.98              |   2.23        |   -4.31        |   -3.04 |  -2.24
synapse rate       0.01 False | 101 |   25.9 |     0.72 |   1.74 ( 2.25)        |   0.52              |   0.13        |   -4.79        |   -6.58 |  -0.55
synapse rate       0.01  True |  24 |   19.2 |     1.53 |   1.67 ( 1.78)        |   1.97              |   1.73        |   -4.06        |   -3.27 |  -1.43
