share of outputs busy at 25k by the largest w/theta from an input on >50% of the time (n outputs, 3 seeds pooled);
synapses from often-on inputs with w >= theta - floor (single-arrival firers), start -> 25k, per seed;
mean change of synapses from often-on inputs that started above theta/2
rule    drive        lr | 25k    <0.5 | 25k  0.5..1 | 25k  1..4/3 | 25k   >=4/3 | start    <0.5 | start  0.5..1 | start  1..4/3 | start   >=4/3 | firers start->25k | dw strong (n)
synapse rate     0.0005 | 0.00 (  9) | 0.57 ( 56) | 0.85 ( 61) | 0.87 ( 54) | 0.00 (  4) | 0.58 ( 69) | 0.86 ( 73) | 0.82 ( 34) | [10, 12, 24] -> [20, 27, 33] | -0.013 (616)
synapse charged  0.0005 | 0.00 ( 10) | 0.69 ( 67) | 0.90 ( 52) | 0.94 ( 51) | 0.00 (  4) | 0.64 ( 69) | 0.89 ( 73) | 0.94 ( 34) | [10, 12, 24] -> [19, 26, 35] | -0.023 (616)
synapse rate      0.001 | 0.00 ( 13) | 0.57 ( 51) | 0.80 ( 50) | 0.85 ( 66) | 0.00 (  4) | 0.57 ( 69) | 0.78 ( 73) | 0.85 ( 34) | [10, 12, 24] -> [28, 34, 48] | -0.034 (616)
synapse charged   0.001 | 0.00 ( 15) | 0.56 ( 59) | 0.93 ( 43) | 0.94 ( 63) | 0.00 (  4) | 0.55 ( 69) | 0.85 ( 73) | 0.94 ( 34) | [10, 12, 24] -> [29, 31, 41] | -0.046 (616)
synapse rate      0.002 | 0.00 ( 18) | 0.45 ( 47) | 0.79 ( 39) | 0.87 ( 76) | 0.25 (  4) | 0.46 ( 69) | 0.74 ( 73) | 0.91 ( 34) | [10, 12, 24] -> [45, 53, 65] | -0.124 (616)
synapse charged   0.002 | 0.06 ( 16) | 0.56 ( 55) | 0.95 ( 41) | 0.94 ( 68) | 0.25 (  4) | 0.57 ( 69) | 0.86 ( 73) | 0.94 ( 34) | [10, 12, 24] -> [41, 42, 56] | -0.094 (616)
synapse rate      0.005 | 0.00 ( 58) | 0.61 ( 23) | 0.79 ( 24) | 0.92 ( 75) | 0.00 (  4) | 0.39 ( 69) | 0.60 ( 73) | 0.91 ( 34) | [10, 12, 24] -> [69, 93, 88] | -0.322 (616)
synapse charged   0.005 | 0.00 ( 53) | 0.27 ( 30) | 0.70 ( 23) | 0.97 ( 74) | 0.50 (  4) | 0.28 ( 69) | 0.58 ( 73) | 0.97 ( 34) | [10, 12, 24] -> [71, 76, 78] | -0.364 (616)
synapse rate       0.01 | 0.00 ( 90) | 0.14 (  7) | 0.71 (  7) | 0.96 ( 76) | 0.25 (  4) | 0.14 ( 69) | 0.49 ( 73) | 0.94 ( 34) | [10, 12, 24] -> [77, 81, 94] | -0.516 (616)
synapse charged    0.01 | 0.00 ( 83) | 0.46 ( 13) | 0.89 (  9) | 0.88 ( 75) | 0.00 (  4) | 0.23 ( 69) | 0.45 ( 73) | 0.91 ( 34) | [10, 12, 24] -> [61, 78, 78] | -0.527 (616)
neuron  rate     0.0005 | 0.00 ( 19) | 0.37 ( 79) | 0.84 ( 51) | 0.94 ( 31) | 0.00 (  4) | 0.45 ( 69) | 0.60 ( 73) | 0.76 ( 34) | [10, 12, 24] -> [10, 9, 26] | -0.124 (616)
neuron  rate      0.002 | 0.00 ( 86) | 0.05 ( 56) | 0.71 ( 28) | 0.60 ( 10) | 0.00 (  4) | 0.10 ( 69) | 0.21 ( 73) | 0.21 ( 34) | [10, 12, 24] -> [3, 4, 9] | -0.592 (616)
